Occupation,weekly_hours,daily_work_hours_consistency,weekly_work_days_consistency,fixed_commute_times,shift_work_status,overtime_exceeds_10hrs,works_on_saturdays,works_on_sundays,satisfaction
9,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
6,35.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
9,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8,52.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
4,60.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0
7,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
4,90.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0
6,70.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
5,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
4,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6,56.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
2,30.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
6,45.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
7,90.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
8,30.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0
9,84.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0
4,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
3,52.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0
2,10.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
9,56.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
3,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0
4,30.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0
7,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
3,56.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
7,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,52.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,54.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
2,52.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,56.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
6,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,48.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
6,48.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
6,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
2,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4,13.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0
6,40.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
9,20.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,45.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
7,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
9,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,56.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
4,45.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
4,40.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0
8,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,37.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
8,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
9,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0
7,55.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
7,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
5,48.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
